,env,orientation,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi,ble_exposure,ble_ble_scan_count,ble_avg_rssi,ble_avg_d_cm
98,pocket,front,2.0,73852615,AF:DE,5F:C2,129D8B7F77E68C0B5C8487BE1C12C528A35F7F2AA0104C1B8A6D02BA3330A3C5,5522A6156A9E19C230210F12815C71F3F785372261941E146422A70C4CD2EADD,178,883,0,30,888,0,34,849,205,,,178,883,-55.2791366,26
99,pocket,front,2.0,73852615,5F:C2,AF:DE,5522A6156A9E19C230210F12815C71F3F785372261941E146422A70C4CD2EADD,129D8B7F77E68C0B5C8487BE1C12C528A35F7F2AA0104C1B8A6D02BA3330A3C5,178,867,0,13,889,0,35,852,203,,,178,867,-55.0071525,25
100,los,front,1.5,73819475,5F:C2,AF:DE,0512C80A516680EC4F16DA92D3DE675A105B8E130C7B43D04953A225B18D43D6,AFF79814E77AB88EF9E6CE5961BC789EF9D6BF12D7FFBE43019E0470588C34CC,178,841,0,14,888,0,79,809,152,,,178,841,-55.5528297,28
101,los,front,1.5,73819476,AF:DE,5F:C2,AFF79814E77AB88EF9E6CE5961BC789EF9D6BF12D7FFBE43019E0470588C34CC,0512C80A516680EC4F16DA92D3DE675A105B8E130C7B43D04953A225B18D43D6,179,827,0,18,890,0,63,824,153,,,178,827,-55.7974052,29
102,plaster,front,0.66,73841123,5F:C2,AF:DE,8B12D3E3F0CA27EE7D4BF33BAE5992C602F10B582F4CF568DF5D514D5FDC0905,B51420D5C6011FDD69403B8267BDADDA66E2A97AB587B64335F4E7FE00858682,178,791,0,2,889,0,335,593,110,,-82.7427063,178,791,-66.3383789,152
103,plaster,front,0.66,73841123,AF:DE,5F:C2,B51420D5C6011FDD69403B8267BDADDA66E2A97AB587B64335F4E7FE00858682,8B12D3E3F0CA27EE7D4BF33BAE5992C602F10B582F4CF568DF5D514D5FDC0905,178,802,0,200,890,0,145,789,112,,-82.6883316,178,802,-66.6355133,160
104,whiteboard,front,2.5,73838349,5F:C2,AF:DE,A7EB10DAA71C3AE2E8205D9141FDAC81FC67BDF58E41921F821783EA8178B2D2,96AC0E0C031479C5BD67F3BCEE629AFED85A1C1AF0353B18FE19709A1830DBC2,178,767,0,1,889,0,108,776,250,,,178,767,-63.1765899,93
105,whiteboard,front,2.5,73838348,AF:DE,5F:C2,96AC0E0C031479C5BD67F3BCEE629AFED85A1C1AF0353B18FE19709A1830DBC2,A7EB10DAA71C3AE2E8205D9141FDAC81FC67BDF58E41921F821783EA8178B2D2,178,785,0,4,890,0,125,762,250,,,178,785,-63.2480812,94
106,body,front,1.5,73822571,5F:C2,AF:DE,AA6AD2B07F35B1E5DAD9E477C75074ECAD53A1AEC2694FADC262826AF1020539,E356E41320CE9519C9242EC61FFCB593691BC2A4441E52DF74DA4E7B81B303FB,177,728,0,20,889,0,169,716,218,,,178,728,-68.5741729,217
107,body,front,1.5,73822570,AF:DE,5F:C2,E356E41320CE9519C9242EC61FFCB593691BC2A4441E52DF74DA4E7B81B303FB,AA6AD2B07F35B1E5DAD9E477C75074ECAD53A1AEC2694FADC262826AF1020539,178,745,0,26,890,0,183,705,224,,,178,745,-68.7518615,223
108,pocket,back,3.5,73851722,AF:DE,5F:C2,8928F033BE2617A0D475D1EA001FAE1B8AFF7325CFAAE72BEFC7FBE4E7279A02,3FD9EF9AFB83D7D8FEC86CBFA3842D3A7294B2B9A2F69CAB898C6A8CCE5CE5F0,178,774,0,8,888,0,138,747,513,,,178,774,-74.6650085,566
109,pocket,back,3.5,73851723,5F:C2,AF:DE,3FD9EF9AFB83D7D8FEC86CBFA3842D3A7294B2B9A2F69CAB898C6A8CCE5CE5F0,8928F033BE2617A0D475D1EA001FAE1B8AFF7325CFAAE72BEFC7FBE4E7279A02,178,758,0,11,889,0,121,765,506,,,178,758,-74.5180435,553
110,pocket,back,2.5,73851466,AF:DE,5F:C2,8C8B4A94549C2AEE139174DBA344BCF9C87E8D0934529DE6B5E071D69E325C8D,F63B44222CB16D220FFD69EA4F3D3663BB0F4352743AF67CDED150C03AE09043,178,769,0,3,888,0,316,567,338,,,178,769,-76.2386016,725
111,pocket,back,2.5,73851465,5F:C2,AF:DE,F63B44222CB16D220FFD69EA4F3D3663BB0F4352743AF67CDED150C03AE09043,8C8B4A94549C2AEE139174DBA344BCF9C87E8D0934529DE6B5E071D69E325C8D,178,684,0,114,889,0,123,764,332,,,178,684,-76.1791229,718
112,db-glass-op,front,0.5,73834367,5F:C2,AF:DE,8245B0C7C35E3FA91DCCFDF5C262A8E0A657A77EDA12E975E9E05AB601D51AA4,8753094000B0B3E25DD3AA2755C088BFE55B2A369208A694C5426E17C4AEDADD,177,511,0,0,886,0,355,528,206,,,177,511,-77.2560119,850
113,db-glass-op,front,0.5,73834368,AF:DE,5F:C2,8753094000B0B3E25DD3AA2755C088BFE55B2A369208A694C5426E17C4AEDADD,8245B0C7C35E3FA91DCCFDF5C262A8E0A657A77EDA12E975E9E05AB601D51AA4,177,532,0,2,888,0,376,507,211,,,178,532,-77.4718323,880
114,body,front,2.0,73822957,5F:C2,AF:DE,68210D9E8943D5B8B9AB7B0C9528848EAC0AF050E2C42D66BAD4105178C0BD97,078D985DE15D8292722689E9790C619E1DFFF81F4E673A8E4CFF70EC8BDE8C1C,178,731,0,19,887,0,195,691,216,,,178,731,-65.3721008,131
115,body,front,2.0,73822957,AF:DE,5F:C2,078D985DE15D8292722689E9790C619E1DFFF81F4E673A8E4CFF70EC8BDE8C1C,68210D9E8943D5B8B9AB7B0C9528848EAC0AF050E2C42D66BAD4105178C0BD97,178,727,0,35,889,0,177,711,217,,,178,727,-65.5634765,135
116,whiteboard,front,1.0,73837413,5F:C2,AF:DE,0D238C76ACB01098D6A343914EA5F006963EF72EBF8CE0850C5DF192C8276425,CBEE360286AA1FCA936E0D00B1830260FA141E71CB26787F2CE9E346057C90E0,177,824,0,13,889,0,86,801,87,,,178,824,-54.4084968,23
117,whiteboard,front,1.0,73837413,AF:DE,5F:C2,CBEE360286AA1FCA936E0D00B1830260FA141E71CB26787F2CE9E346057C90E0,0D238C76ACB01098D6A343914EA5F006963EF72EBF8CE0850C5DF192C8276425,178,807,0,4,890,0,79,808,88,,,178,807,-54.5144233,23
