,env,orientation,d,epoch,src,nei,etl,rtl,uwb_exposure,uwb_lst_scheduled,uwb_lst_aborted,uwb_lst_timeout,uwb_req_scheduled,uwb_req_aborted,uwb_req_timeout,uwb_req_count,uwb_avg_d_cm,uwb_avg_los,uwb_avg_rssi,ble_exposure,ble_ble_scan_count,ble_avg_rssi,ble_avg_d_cm
41,db-glass-op,front,2.5,73835167,AF:DE,5F:C2,C47D357C35383BF63E2A92E584426AAB2DFCF76FC5E8806B1B1B17E32A5676DF,E15DD5C5F9B0819AA6138ED081CE0748C2DAAE6694C9D78171D996527E99B81F,178,725,0,24,890,0,164,724,316,,,178,725,-73.9390259,505
42,db-glass-op,front,1.0,73834792,5F:C2,AF:DE,93D6F6CF72BE11869057C3E83A859F0BFAF6B586D620905C878181AB6A5F6480,E115ED25A20898BF12711A6B13C83F79A55821F92961240970C3CDEE6A4160BF,176,455,0,6,883,0,458,421,197,,,176,455,-79.7362594,1256
43,db-glass-op,front,1.0,73834792,AF:DE,5F:C2,E115ED25A20898BF12711A6B13C83F79A55821F92961240970C3CDEE6A4160BF,93D6F6CF72BE11869057C3E83A859F0BFAF6B586D620905C878181AB6A5F6480,178,442,0,18,890,0,440,448,197,,,178,442,-79.9843216,1306
44,door,front,2.0,73845029,5F:C2,AF:DE,C8219306594BF53D97563FEA76502F3703964EE2562E1F9E3DB88182E809D3E4,79C4551E2175C5D3100D6AE5856665E42D41BE88AD8AD3176822EA272B7FBC0E,178,847,0,1,888,0,52,833,199,,,178,847,-60.1144065,57
45,door,front,2.0,73845028,AF:DE,5F:C2,79C4551E2175C5D3100D6AE5856665E42D41BE88AD8AD3176822EA272B7FBC0E,C8219306594BF53D97563FEA76502F3703964EE2562E1F9E3DB88182E809D3E4,178,842,0,7,889,0,43,842,200,,,178,842,-60.3308792,59
46,los,front,3.5,73820368,5F:C2,AF:DE,7E0A3224B8AB37B702C9C586ADECD477B5EA5427770BE444B3E8C68A2A43C5EE,B239D15197387F62A119FDC011AE5DD8D6F898502143E7C87A59CFF6DD0FA1BC,178,818,0,16,888,0,87,797,357,,,178,818,-63.4674797,97
47,los,front,3.5,73820369,AF:DE,5F:C2,B239D15197387F62A119FDC011AE5DD8D6F898502143E7C87A59CFF6DD0FA1BC,7E0A3224B8AB37B702C9C586ADECD477B5EA5427770BE444B3E8C68A2A43C5EE,178,829,0,28,889,0,87,801,358,,,178,829,-63.5693168,98
48,pocket,front,0.5,73853490,AF:DE,5F:C2,1BF077BA70D1FB872630991779D1889F09367B0ED2F6D8B6BAEE0CCD13B757B2,8F8A132D21567190F2AD128D617A500161F5CBCD56532CB7BC91BFBC40F02950,178,884,0,3,889,0,76,811,44,,,178,884,-47.0486869,7
49,pocket,front,0.5,73853491,5F:C2,AF:DE,8F8A132D21567190F2AD128D617A500161F5CBCD56532CB7BC91BFBC40F02950,1BF077BA70D1FB872630991779D1889F09367B0ED2F6D8B6BAEE0CCD13B757B2,178,870,0,57,888,0,7,877,43,,,178,870,-46.684536,6
50,whiteboard,front,0.5,73836996,5F:C2,AF:DE,54C151A3161C009E04992F087AC795C8A3403AA16EFF4461240A794F5C128D52,7C9C374B5FB42A9B43EA6A708ED8EBD4C26F8A9FFA2BAF3B8FB66FF5869BF14D,177,828,0,28,889,0,106,778,35,,,178,828,-54.3578529,23
51,whiteboard,front,0.5,73836996,AF:DE,5F:C2,7C9C374B5FB42A9B43EA6A708ED8EBD4C26F8A9FFA2BAF3B8FB66FF5869BF14D,54C151A3161C009E04992F087AC795C8A3403AA16EFF4461240A794F5C128D52,178,808,0,26,889,0,90,798,36,,,178,808,-54.5993232,24
52,plaster,front,2.5,73842489,5F:C2,AF:DE,E447657677D13A0E929F0D645B31FCAB300DF03367F9D96F4A08706AB41D3D5F,0A258DC7C95B4EBBEB470AFEF759DCC3684E9DE659AB82C15E4E44D39319C6B7,178,790,0,31,889,0,189,749,283,,-81.9313889,178,790,-69.1372222,237
53,plaster,front,2.5,73842489,AF:DE,5F:C2,0A258DC7C95B4EBBEB470AFEF759DCC3684E9DE659AB82C15E4E44D39319C6B7,E447657677D13A0E929F0D645B31FCAB300DF03367F9D96F4A08706AB41D3D5F,178,780,0,53,890,0,184,732,293,,-81.8985062,178,780,-69.3199463,244
54,body,front,3.5,73823720,5F:C2,AF:DE,86E6A2331E642A178465FD51086D8AEBA96F856864BE8F3A0D521A763C4BAE8C,77667A9E9458514706ABE4A6BA23D3F9FE641D99651452786BD515FEB56C1DD4,178,805,0,77,889,0,169,717,363,,,178,805,-67.449646,182
55,body,front,3.5,73823720,AF:DE,5F:C2,77667A9E9458514706ABE4A6BA23D3F9FE641D99651452786BD515FEB56C1DD4,86E6A2331E642A178465FD51086D8AEBA96F856864BE8F3A0D521A763C4BAE8C,178,807,0,89,890,0,162,722,364,,,178,807,-66.9684448,168
56,plexiglass,front,1.5,73847311,AF:DE,5F:C2,3E4C151DDE7E24215FE130B06888FE5C2E6144DEEA1728CADAC0C6158529A151,43CE237D3250E5CB0AC7565B0D6CEFE4FA22B8D3EC09C92EE7F721070991C3B3,178,841,0,51,889,0,105,781,148,,,178,841,-56.0350379,30
57,plexiglass,front,1.5,73847312,5F:C2,AF:DE,43CE237D3250E5CB0AC7565B0D6CEFE4FA22B8D3EC09C92EE7F721070991C3B3,3E4C151DDE7E24215FE130B06888FE5C2E6144DEEA1728CADAC0C6158529A151,178,820,0,37,890,0,100,785,147,,,178,820,-56.0359802,30
58,backpack,front,2.5,73911430,AF:DE,5F:C2,3C001877FB517919D71F4EC81FBD0F15FBD2D1E7BE789C41AE74B1A9C1364534,77AB1C8E12B87B0DA941C114319E77C5170D3D1059919DAF2790EAA298A1A39E,178,845,0,9,888,0,66,820,271,,,178,845,-66.7391281,162
59,backpack,front,2.5,73911430,5F:C2,AF:DE,77AB1C8E12B87B0DA941C114319E77C5170D3D1059919DAF2790EAA298A1A39E,3C001877FB517919D71F4EC81FBD0F15FBD2D1E7BE789C41AE74B1A9C1364534,178,826,0,4,889,0,52,832,270,,,178,826,-66.554161,158
60,backpack,front,1.0,73910361,AF:DE,5F:C2,2BBC12D0F0363E071F177C7D6D420A10084A37A95FC595D9F253BC77F3B4B9F7,C82ECD1BA652BF1D3E6F9C3CC78B36697031A0DD5BC1310EE9F33BB460596F0D,178,845,0,0,888,0,49,837,109,,,178,845,-62.1794357,79
61,backpack,front,1.0,73910361,5F:C2,AF:DE,C82ECD1BA652BF1D3E6F9C3CC78B36697031A0DD5BC1310EE9F33BB460596F0D,2BBC12D0F0363E071F177C7D6D420A10084A37A95FC595D9F253BC77F3B4B9F7,178,840,0,1,889,0,44,841,108,,,178,840,-62.0579872,78
62,plexiglass,front,2.0,73847588,AF:DE,5F:C2,79F63C6F76D1BA827DD43E0E2C4735157B5984F8F0AD6FFFEDF39700611FFBF1,59A5DDADE8C4636F7433AF77340200653603A4D6F1B9CF850A0B64E49F8DCB22,178,853,0,17,888,0,59,825,210,,,178,853,-57.1974411,36
63,plexiglass,front,2.0,73847587,5F:C2,AF:DE,59A5DDADE8C4636F7433AF77340200653603A4D6F1B9CF850A0B64E49F8DCB22,79F63C6F76D1BA827DD43E0E2C4735157B5984F8F0AD6FFFEDF39700611FFBF1,178,850,0,21,889,0,54,832,208,,,178,850,-57.0855407,35
64,db-glass-op,front,1.5,73828803,5F:C2,AF:DE,D146B139AF8F63552A833003CBE09965DC76CA4ADD2809408AD60CEFF33DDCFD,48489063B294395C9171E6E119200E435D40C6C3B7571229D495CA5727972F62,178,787,0,110,888,0,112,774,234,,,178,787,-74.6861648,568
65,db-glass-op,front,1.5,73828804,AF:DE,5F:C2,48489063B294395C9171E6E119200E435D40C6C3B7571229D495CA5727972F62,D146B139AF8F63552A833003CBE09965DC76CA4ADD2809408AD60CEFF33DDCFD,177,778,0,2,889,0,213,672,235,,,178,778,-74.9486313,591
66,pocket,back,0.5,73849806,AF:DE,5F:C2,AD441BC8AA6D5C1E93E965F3E24BC5BD3982DF8E5D6DCA3C2F9CF2EFFAA0DEB3,860C177378A1A7F9A5339FC38A9E16CFC1A134E1DDED1C0891A466475291A66B,178,793,0,77,888,0,165,722,166,,,178,793,-68.498291,214
67,pocket,back,0.5,73849806,5F:C2,AF:DE,860C177378A1A7F9A5339FC38A9E16CFC1A134E1DDED1C0891A466475291A66B,AD441BC8AA6D5C1E93E965F3E24BC5BD3982DF8E5D6DCA3C2F9CF2EFFAA0DEB3,178,806,0,83,888,0,172,712,156,,,178,806,-68.3902053,211
68,door,front,2.5,73845369,5F:C2,AF:DE,BF6B258C358294F1D7CB24FC7778E15C0D4659D88ACEDF25C1B23A812354896A,CE9DCB83BCF5FE4D4A74D449A58680C248BD3F8746D887463ECF80934B376EF9,178,848,0,14,888,0,69,817,256,,,178,848,-65.8109359,140
69,door,front,2.5,73845368,AF:DE,5F:C2,CE9DCB83BCF5FE4D4A74D449A58680C248BD3F8746D887463ECF80934B376EF9,BF6B258C358294F1D7CB24FC7778E15C0D4659D88ACEDF25C1B23A812354896A,178,843,0,25,889,0,56,832,256,,,178,843,-65.8089905,140
70,plaster,front,2.0,73842151,5F:C2,AF:DE,01CC337698B4D3671BB8E341BF1F0799107514381A0F5ED4EC56FCE04D9B724C,BA763BBBCED87D8ADC1A21DC6DA56F777613A4395F769397AC601937258A3982,178,732,0,18,889,0,158,769,232,,-83.7735824,178,732,-67.0369339,170
71,plaster,front,2.0,73842151,AF:DE,5F:C2,BA763BBBCED87D8ADC1A21DC6DA56F777613A4395F769397AC601937258A3982,01CC337698B4D3671BB8E341BF1F0799107514381A0F5ED4EC56FCE04D9B724C,178,812,0,16,889,0,217,736,225,,-83.7559051,178,812,-67.0572967,171
72,plaster,front,1.5,73841840,5F:C2,AF:DE,785AD9A582A4BDED2B38D7E8CA1992243C96EA4619BA47798E454D5B8AEAD168,0C4721AD2BDF31DEEF3FB63C7379FE978D490CD67B77D280215FE52C7757C155,178,665,0,1,889,0,276,656,220,,-81.8258209,178,665,-75.483345,643
73,plaster,front,1.5,73841840,AF:DE,5F:C2,0C4721AD2BDF31DEEF3FB63C7379FE978D490CD67B77D280215FE52C7757C155,785AD9A582A4BDED2B38D7E8CA1992243C96EA4619BA47798E454D5B8AEAD168,178,665,0,8,889,0,269,662,221,,-81.6963653,178,665,-75.5067291,646
74,door,front,1.0,73844290,5F:C2,AF:DE,0D4733C82BCCC4E28AF8B3EF7BDBEF62086FB9D19C4123FBC5050E050F4FEE92,5E57EA8C7C23BCCF558455A09A06C8EE1D4C39067C2E07EF4CBEADD86B69205C,177,849,0,29,888,0,99,809,92,,-80.6050415,178,849,-56.4634933,32
75,door,front,1.0,73844291,AF:DE,5F:C2,5E57EA8C7C23BCCF558455A09A06C8EE1D4C39067C2E07EF4CBEADD86B69205C,0D4733C82BCCC4E28AF8B3EF7BDBEF62086FB9D19C4123FBC5050E050F4FEE92,178,841,0,26,889,0,93,819,93,,-80.5884247,177,841,-56.6397781,33
76,db-glass-op,front,2.0,73835561,5F:C2,AF:DE,BA48C36E590BAB57E0BA22C58EFDB879F414C1AF8172C9FA4BE6BD51BB2C4A40,3AD5BB02D5151EF6B5CF59DA1B03372D429FBCA6897CC793AD1893433DEDA596,177,530,0,7,888,0,368,516,276,,,177,530,-71.0782699,322
77,db-glass-op,front,2.0,73835560,AF:DE,5F:C2,3AD5BB02D5151EF6B5CF59DA1B03372D429FBCA6897CC793AD1893433DEDA596,BA48C36E590BAB57E0BA22C58EFDB879F414C1AF8172C9FA4BE6BD51BB2C4A40,178,530,0,12,889,0,363,522,277,,,178,530,-71.1597595,326
