,env,method,orientation,d,src,nei,d_est,d_err_absolute,d_err_relative
60,los,riot,front,1.0,C3:29,57:81,1.0051072,0.0051072000000000894,0.0051072000000000894
61,los,riot,front,1.0,C3:29,57:81,0.9820045,0.017995500000000053,0.017995500000000053
62,los,riot,front,1.0,C3:29,57:81,1.0119237,0.011923700000000093,0.011923700000000093
63,los,riot,front,1.0,C3:29,57:81,1.0081912,0.008191199999999954,0.008191199999999954
64,los,riot,front,1.0,C3:29,57:81,0.9907434,0.009256599999999948,0.009256599999999948
65,los,riot,front,1.0,C3:29,57:81,0.9561374,0.043862599999999974,0.043862599999999974
66,los,riot,front,1.0,C3:29,57:81,0.9846673,0.015332699999999977,0.015332699999999977
67,los,riot,front,1.0,C3:29,57:81,1.0088138,0.008813799999999983,0.008813799999999983
68,los,riot,front,1.0,C3:29,57:81,1.0112679,0.011267899999999997,0.011267899999999997
69,los,riot,front,1.0,C3:29,57:81,0.9789096,0.021090399999999954,0.021090399999999954
70,los,riot,front,1.0,C3:29,57:81,0.9927979,0.007202099999999989,0.007202099999999989
71,los,riot,front,1.0,C3:29,57:81,0.9925078,0.007492199999999949,0.007492199999999949
72,los,riot,front,1.0,C3:29,57:81,0.997015,0.0029850000000000154,0.0029850000000000154
73,los,riot,front,1.0,C3:29,57:81,0.9924945,0.007505500000000054,0.007505500000000054
74,los,riot,front,1.0,C3:29,57:81,0.9607548,0.03924519999999998,0.03924519999999998
75,los,riot,front,1.0,C3:29,57:81,0.9656407,0.03435929999999998,0.03435929999999998
76,los,riot,front,1.0,C3:29,57:81,0.9549005,0.04509949999999996,0.04509949999999996
77,los,riot,front,1.0,C3:29,57:81,1.0028587,0.002858699999999992,0.002858699999999992
78,los,riot,front,1.0,C3:29,57:81,1.0134452,0.013445200000000046,0.013445200000000046
79,los,riot,front,1.0,C3:29,57:81,1.0271158,0.027115800000000023,0.027115800000000023
80,los,riot,front,1.0,C3:29,57:81,0.964558,0.035441999999999974,0.035441999999999974
81,los,riot,front,1.0,C3:29,57:81,0.998169,0.001831000000000027,0.001831000000000027
82,los,riot,front,1.0,C3:29,57:81,1.003359,0.00335899999999989,0.00335899999999989
83,los,riot,front,1.0,C3:29,57:81,1.0254511,0.02545109999999995,0.02545109999999995
84,los,riot,front,1.0,C3:29,57:81,1.0087152,0.008715199999999923,0.008715199999999923
85,los,riot,front,1.0,C3:29,57:81,0.9889953,0.011004699999999978,0.011004699999999978
86,los,riot,front,1.0,C3:29,57:81,0.9958628,0.004137199999999952,0.004137199999999952
87,los,riot,front,1.0,C3:29,57:81,1.0092285,0.009228500000000084,0.009228500000000084
88,los,riot,front,1.0,C3:29,57:81,0.9569674,0.043032599999999976,0.043032599999999976
89,los,riot,front,1.0,C3:29,57:81,0.9878153,0.012184700000000048,0.012184700000000048
90,los,riot,front,1.0,C3:29,57:81,0.9719952,0.028004800000000052,0.028004800000000052
91,los,riot,front,1.0,C3:29,57:81,0.9972096,0.0027903999999999707,0.0027903999999999707
92,los,riot,front,1.0,C3:29,57:81,1.0031764,0.003176400000000079,0.003176400000000079
93,los,riot,front,1.0,C3:29,57:81,0.9897986,0.010201400000000027,0.010201400000000027
94,los,riot,front,1.0,C3:29,57:81,1.0190229,0.019022899999999954,0.019022899999999954
95,los,riot,front,1.0,C3:29,57:81,1.030043,0.030043000000000042,0.030043000000000042
96,los,riot,front,1.0,C3:29,57:81,0.9824846,0.01751539999999996,0.01751539999999996
97,los,riot,front,1.0,C3:29,57:81,1.0013176,0.0013175999999999188,0.0013175999999999188
98,los,riot,front,1.0,C3:29,57:81,0.9999571,4.289999999995686e-05,4.289999999995686e-05
99,los,riot,front,1.0,C3:29,57:81,1.0162762,0.016276200000000074,0.016276200000000074
100,los,riot,front,1.0,C3:29,57:81,0.9892026,0.010797399999999957,0.010797399999999957
101,los,riot,front,1.0,C3:29,57:81,1.0114425,0.011442500000000022,0.011442500000000022
102,los,riot,front,1.0,C3:29,57:81,1.0018156,0.0018156000000000283,0.0018156000000000283
103,los,riot,front,1.0,C3:29,57:81,0.981499,0.01850099999999999,0.01850099999999999
104,los,riot,front,1.0,C3:29,57:81,0.9724094,0.02759060000000002,0.02759060000000002
105,los,riot,front,1.0,C3:29,57:81,0.9585351,0.04146490000000003,0.04146490000000003
106,los,riot,front,1.0,C3:29,57:81,0.9661533,0.03384670000000001,0.03384670000000001
107,los,riot,front,1.0,C3:29,57:81,1.0355368,0.035536800000000035,0.035536800000000035
108,los,riot,front,1.0,C3:29,57:81,0.9552295,0.044770500000000046,0.044770500000000046
109,los,riot,front,1.0,C3:29,57:81,1.0449166,0.044916600000000084,0.044916600000000084
110,los,riot,front,1.0,C3:29,57:81,0.9921684,0.00783160000000005,0.00783160000000005
111,los,riot,front,1.0,C3:29,57:81,0.9959736,0.0040263999999999855,0.0040263999999999855
112,los,riot,front,1.0,C3:29,57:81,0.9745488,0.025451200000000007,0.025451200000000007
113,los,riot,front,1.0,C3:29,57:81,0.9662748,0.03372520000000001,0.03372520000000001
114,los,riot,front,1.0,C3:29,57:81,1.0170907,0.017090700000000014,0.017090700000000014
115,los,riot,front,1.0,C3:29,57:81,1.0119166,0.011916599999999944,0.011916599999999944
116,los,riot,front,1.0,C3:29,57:81,0.9902973,0.009702699999999953,0.009702699999999953
117,los,riot,front,1.0,C3:29,57:81,0.9962758,0.0037241999999999553,0.0037241999999999553
118,los,riot,front,1.0,C3:29,57:81,1.0015512,0.0015511999999999748,0.0015511999999999748
119,los,riot,front,1.0,C3:29,57:81,0.9900186,0.00998140000000003,0.00998140000000003
120,los,riot,front,1.0,C3:29,57:81,1.0039914,0.003991400000000089,0.003991400000000089
121,los,riot,front,1.0,C3:29,57:81,1.0053795,0.0053795000000000925,0.0053795000000000925
122,los,riot,front,1.0,C3:29,57:81,1.003046,0.003046000000000104,0.003046000000000104
123,los,riot,front,1.0,C3:29,57:81,0.9436276,0.05637239999999999,0.05637239999999999
124,los,riot,front,1.0,C3:29,57:81,1.0076268,0.007626799999999934,0.007626799999999934
125,los,riot,front,1.0,C3:29,57:81,1.0003857,0.00038570000000004434,0.00038570000000004434
126,los,riot,front,1.0,C3:29,57:81,0.9978577,0.0021423000000000414,0.0021423000000000414
127,los,riot,front,1.0,C3:29,57:81,1.0007845,0.0007844999999999658,0.0007844999999999658
128,los,riot,front,1.0,C3:29,57:81,1.009085,0.00908500000000001,0.00908500000000001
129,los,riot,front,1.0,C3:29,57:81,0.9677575,0.03224249999999995,0.03224249999999995
130,los,riot,front,1.0,C3:29,57:81,0.9676617,0.03233830000000004,0.03233830000000004
131,los,riot,front,1.0,C3:29,57:81,1.0169092,0.016909199999999958,0.016909199999999958
132,los,riot,front,1.0,C3:29,57:81,0.9977474,0.002252600000000049,0.002252600000000049
133,los,riot,front,1.0,C3:29,57:81,0.983982,0.016017999999999977,0.016017999999999977
134,los,riot,front,1.0,C3:29,57:81,1.0261946,0.026194599999999957,0.026194599999999957
135,los,riot,front,1.0,C3:29,57:81,0.9721692,0.027830800000000044,0.027830800000000044
136,los,riot,front,1.0,C3:29,57:81,0.9827301,0.01726989999999995,0.01726989999999995
137,los,riot,front,1.0,C3:29,57:81,0.9655761,0.03442389999999995,0.03442389999999995
138,los,riot,front,1.0,C3:29,57:81,1.0185747,0.018574700000000055,0.018574700000000055
139,los,riot,front,1.0,C3:29,57:81,0.9829119,0.01708810000000005,0.01708810000000005
140,los,riot,front,1.0,C3:29,57:81,0.9643586,0.035641400000000045,0.035641400000000045
141,los,riot,front,1.0,C3:29,57:81,0.9882815,0.011718499999999965,0.011718499999999965
142,los,riot,front,1.0,C3:29,57:81,1.0039343,0.003934300000000057,0.003934300000000057
143,los,riot,front,1.0,C3:29,57:81,0.983107,0.016893000000000047,0.016893000000000047
144,los,riot,front,1.0,C3:29,57:81,0.9707116,0.029288399999999992,0.029288399999999992
145,los,riot,front,1.0,C3:29,57:81,0.995635,0.004364999999999952,0.004364999999999952
146,los,riot,front,1.0,C3:29,57:81,0.9724624,0.02753760000000005,0.02753760000000005
147,los,riot,front,1.0,C3:29,57:81,0.9986481,0.0013518999999999615,0.0013518999999999615
148,los,riot,front,1.0,C3:29,57:81,1.0340211,0.034021099999999915,0.034021099999999915
149,los,riot,front,1.0,C3:29,57:81,0.9846426,0.015357399999999966,0.015357399999999966
150,los,riot,front,1.0,C3:29,57:81,0.9597634,0.040236599999999956,0.040236599999999956
151,los,riot,front,1.0,C3:29,57:81,1.0483826,0.04838260000000005,0.04838260000000005
152,los,riot,front,1.0,C3:29,57:81,1.0040445,0.004044500000000006,0.004044500000000006
153,los,riot,front,1.0,C3:29,57:81,1.0026458,0.0026458000000000315,0.0026458000000000315
